Name_1,HaKiDaSName,RA_1,DEC_1,GaiaID,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,Vmag,Kmag_x,Name_2,Teff,logg,RefstarID,[Fe/H],[Fe/H]error,rv_HDS
HD237846,HaKiDaS00079,148.158362,57.91731899999999,1049376272667191552,9.704123,10.14206,9.124033,9.954,7.815,HD237846,4988.50931336,2.20725071072,0,-2.8754727152599995,0.109599999913,-9.24137395939
BD+102495,HaKiDaS00080,194.832079,9.244778,3734341989334114304,9.4815445,9.923442,8.898108500000001,9.736,7.571000000000001,BD+102495,4983.54613863,2.42202600765,0,-2.0072775592,0.0551959548367,18.8156888719
BD+292356,HaKiDaS00081,195.468775,29.190028,1464266230811360256,11.071903,11.564366999999999,10.450362,11.290999999999999,9.049,BD+292356,4827.20965952,1.62024668563,0,-1.6720946282,0.050271639668300006,12.6756158391
BD-035215,HaKiDaS00082,322.002217,-3.124589,2684739908761571840,9.97642,10.350446,9.464875,10.086,8.363,BD-035215,5638.16020873,2.66182947599,0,-1.26764801809,0.0417236436827,9.1
HD33771,HaKiDaS00085,77.709283,-37.819206,4820462183959704448,9.150828,9.668517999999999,8.507987,9.451,7.021,HD33771,4627.3830977,1.80468545867,0,-1.90315676917,0.0390461669178,-14.713069434300001
HD68988,HaKiDaS00087,124.587883,61.459911,1090159839002347136,8.046111,8.386382000000001,7.587317999999999,8.197000000000001,6.742999999999999,HD68988,5836.48631639,4.2888448635500005,2,0.341632954894,0.047942339459,-18.4036661915
HD224959,HaKiDaS00088,0.534567,-2.821931,2448568453248165504,9.299823,9.823545,8.65926,9.511000000000001,7.303,HD224959,4954.38665972,2.59469872791,0,-1.8482256996400002,0.13425656223500002,23.9350010269
BD+12.2547,HaKiDaS00089,196.026492,11.436872,3736909550847197824,9.624098,10.158474,8.962007,9.887,7.445,BD+12.2547,4672.47872181,1.75783310303,0,-1.62203034443,0.116132725317,-25.7185735041
G59-27,HaKiDaS00090,189.16581299999999,27.474814000000002,3962435539076449536,10.731667999999999,10.978954,10.339457000000001,10.75,9.56,G59-27,6579.65964509,4.18538497858,0,-1.7662344879799998,0.11657450772299999,-19.92
BD+302611,HaKiDaS00091,226.720833,30.011046999999998,1275876252107941888,8.719325999999999,9.413198,7.9439163,9.157,6.093999999999999,BD+302611,4203.55196009,0.9548124441660001,0,-1.38950657759,0.0464776869544,18.8592628645
G53-41,HaKiDaS00092,156.850217,1.402303,3855475490307708032,10.865032000000001,11.152816,10.434194999999999,11.099,9.595,G53-41,5906.76414844,4.34234420731,0,-1.3605157325400001,0.0709494395528,4.0645926369
BD-18271,HaKiDaS00093,24.326804,-17.480803,2450584991932903168,9.335322,10.049033,8.5489645,9.775,6.7860000000000005,BD-18271,4280.22919974,0.8279690588390001,0,-2.22091462041,0.0664521451024,25.0
CS29497-034,HaKiDaS00094,10.414096,-26.313578000000003,2343863021791098624,12.011674000000001,12.522563,11.374188,12.220999999999998,9.996,CS29497-034,3374.06191457,1.35501759215,1,-0.230935519175,0.306393369668,13.48
HD28185,HaKiDaS00095,66.61071700000001,-10.552261,3179384931394690304,7.6268163,8.00651,7.134158599999999,7.819,6.184,HD28185,5760.45544465,4.42700571719,2,0.215252499469,0.0563331594183,-10.6512181418
HD179949,HaKiDaS00097,288.890083,-24.181667,6770313530317154560,6.1039176,6.403946400000001,5.6949477,6.246,4.935,HD179949,6072.88612659,4.2583001169,2,0.0946401780679,0.0688618284823,23.1860338071
BD+06648,HaKiDaS00099,63.305025,6.602186,3297303572040367232,8.5714,9.326581,7.752847,9.073,5.797999999999999,BD+06648,4325.18739496,0.911801856592,0,-2.06950291194,0.0512201949909,-7.17139252305
NGC2682141,HaKiDaS00100,132.84588300000001,11.802989,604917629355042176,10.165702,10.734689999999999,9.486802,10.394,7.942,NGC2682141,4727.45961425,2.7353379626599996,1,-0.213528792155,0.102238924122,5.9
HD187085,HaKiDaS00101,297.39153799999997,-37.777953000000004,6692069568458919040,7.075083,7.3854284,6.653852499999999,7.224,5.876,HD187085,5998.96212242,4.17495311386,2,-0.00114476608261,0.0376461164724,12.97
HE0017+0055,HaKiDaS00103,5.0923,1.199494,2547126442179677952,11.239376,11.966289,10.460522000000001,11.665999999999999,8.498,HE0017+0055,4175.69648295,1.76582740901,1,-0.469161904565,0.159602276002,-28.743270949499998
BD-10548,HaKiDaS00104,41.729071000000005,-10.123369,5172901664054927488,10.163637,10.620749,9.57671,10.628,8.251,BD-10548,4700.58861177,2.31993556514,0,-1.59391857252,0.0698854359017,26.63
HD214362,HaKiDaS00106,339.492842,-22.640342,6627657909558558464,8.930808,9.249488000000001,8.481422,9.064,7.535,HD214362,5834.78263233,2.68910442994,0,-1.78951776056,0.07332170893239999,13.47
HD19994,HaKiDaS00107,48.194212,-1.197514,3265335443260522112,4.884942,5.23272,4.5306287,5.079,3.748,HD19994,6042.30741287,4.05376841234,2,0.0707357672863,0.096051540575,-19.1383826767
