#lambda (Ang), continuum-normalized flux
6406.900, 0.9962
6407.040, 0.9951
6407.180, 0.9939
6407.320, 0.9926
6407.460, 0.9913
6407.600, 0.9902
6407.740, 0.9893
6407.880, 0.9887
6408.020, 0.9886
6408.160, 0.9889
6408.300, 0.9896
6408.440, 0.9906
6408.580, 0.9919
6408.720, 0.9932
6408.860, 0.9945
6409.000, 0.9958
6409.140, 0.9968
6409.280, 0.9976
6409.420, 0.9982
6409.560, 0.9986
6409.700, 0.9988
6409.840, 0.9988
6409.980, 0.9986
6410.120, 0.9981
6410.260, 0.9973
6410.400, 0.9961
6410.540, 0.9947
6410.680, 0.9928
6410.820, 0.9907
6410.960, 0.9884
6411.100, 0.9861
6411.240, 0.9839
6411.380, 0.9822
6411.520, 0.9811
6411.660, 0.9807
6411.800, 0.9811
6411.940, 0.9822
6412.080, 0.9839
6412.220, 0.9860
6412.360, 0.9884
6412.500, 0.9907
6412.640, 0.9928
6412.780, 0.9946
6412.920, 0.9961
6413.060, 0.9972
6413.200, 0.9980
6413.340, 0.9985
6413.480, 0.9988
6413.620, 0.9990
6413.760, 0.9990
6413.900, 0.9989
6414.040, 0.9988
6414.180, 0.9986
6414.320, 0.9984
6414.460, 0.9982
6414.600, 0.9980
6414.740, 0.9979
6414.880, 0.9978
6415.020, 0.9978
6415.160, 0.9979
6415.300, 0.9980
6415.440, 0.9981
6415.580, 0.9982
6415.720, 0.9982
6415.860, 0.9982
6416.000, 0.9981
6416.140, 0.9980
6416.280, 0.9978
6416.420, 0.9975
6416.560, 0.9973
6416.700, 0.9971
6416.840, 0.9970
6416.980, 0.9969
6417.120, 0.9970
6417.260, 0.9971
6417.400, 0.9974
6417.540, 0.9976
6417.680, 0.9979
6417.820, 0.9982
6417.960, 0.9985
6418.100, 0.9987
6418.240, 0.9988
6418.380, 0.9988
6418.520, 0.9986
6418.660, 0.9983
6418.800, 0.9979
6418.940, 0.9973
6419.080, 0.9966
6419.220, 0.9958
6419.360, 0.9948
6419.500, 0.9939
6419.640, 0.9929
6419.780, 0.9920
6419.920, 0.9910
6420.060, 0.9901
6420.200, 0.9890
6420.340, 0.9879
6420.480, 0.9866
6420.620, 0.9851
6420.760, 0.9836
6420.900, 0.9822
6421.040, 0.9810
6421.180, 0.9802
6421.320, 0.9800
6421.460, 0.9805
6421.600, 0.9816
6421.740, 0.9833
6421.880, 0.9854
6422.020, 0.9878
6422.160, 0.9901
6422.300, 0.9923
6422.440, 0.9942
6422.580, 0.9958
6422.720, 0.9970
6422.860, 0.9979
6423.000, 0.9986
6423.140, 0.9990
6423.280, 0.9993
6423.420, 0.9994
6423.560, 0.9995
6423.700, 0.9996
6423.840, 0.9996
6423.980, 0.9996
6424.120, 0.9995
