Name,Teff,logg,RefstarID,[Fe/H],[Fe/H]error,rv_HDS
KXLyr,7035.6963725,3.5465016120099997,0,-1.00594646771,0.38204516020900003,1.73652174384
M4L2406,3917.5921134000005,0.772262337779,0,-1.41886456287,0.265645275006,-28.98
GJ1233,5317.94036668,4.470570645,2,0.0710314711059,0.0566032862911,-3.59
LP877-70,5387.25659792,4.224028906,2,-0.549416354446,0.11806594432600001,16.41
V445Oph,6047.25266725,3.4815723930800004,1,-0.6815358380840001,0.248413858108,-14.9659087074
HD232078,4356.51981952,0.176730157621,0,-1.6789436490399998,0.36856252723099997,-18.43
RRCet,6814.17614633,3.14693439259,1,-0.708355922998,0.340366029669,28.406301608200003
HE1429-0551,4547.973412300001,1.5140779959900001,0,-1.7340277774900001,0.276114340635,-12.8029854438
HD23484,5062.06070352,4.507919097559999,2,0.0625712916712,0.0801112354877,-12.8046915226
BD+03740,6269.57400204,3.945105883,0,-2.63431094876,0.0318766550921,-28.098354547
BD+03740,6269.57400204,3.945105883,0,-2.69622919611,0.0069945274135399995,-27.976428536
HD190647,5590.11054785,4.10141248601,2,0.26766127283700003,0.021883552342,14.77
HD202206,5646.40296898,4.38426693593,2,0.287794916165,0.037972698642,26.55
60033,6028.35902747,3.90575857792,0,-1.20639071592,0.0615627106735,1.2673424752299998
LP894-3,5722.392325899999,4.25008476921,0,-1.55693584329,0.06001282346419999,-15.5421621982
HE0010-3051,4560.94481309,0.559012981241,0,-1.31595147396,0.33615342266599996,-18.3747245573
HD5426,4940.92903661,2.44380326193,0,-1.9810396290599999,0.0370252993866,-24.139974141
HD233832,5028.57329435,4.60486929411,0,-1.07534330859,0.267190531049,-19.71
HD12661,5800.8714953,4.33900446871,2,0.28306239484,0.058194645646400006,-22.417422766799998
M13III-59,5993.85921485,0.9395238889830001,0,-2.11982222429,0.331237006699,-15.68
HD23798,4380.38361197,1.0167894933,0,-2.0624463802400004,0.0814166325741,-20.3
HD18131,4854.37558945,3.17993158041,1,-0.018327198657400002,0.05472074761390001,27.48
HD251432,4498.13617046,2.10744611906,1,-0.165666242368,0.107978309252,-17.36
HD141937,6088.83520451,4.456052982709999,2,0.104865223307,0.04810640286719999,-6.09113755709
BD+013070,5264.05133008,3.1097262107,0,-1.58085824195,0.043581852152100004,27.9710607156
HD37828,4525.3620574,1.34252609994,0,-1.42107109584,0.07732347562089999,-17.4
HD2665,4888.78575241,2.30354827813,0,-2.30772089379,0.465976326578,18.73
HD46375,5217.6914458,4.42238811313,2,0.141463091869,0.0828523547633,5.97394124395
M13III-52,4617.09775631,0.753894005538,0,-1.56810402338,0.0956170371566,-15.68
HD168746,5671.15700595,4.32108913432,2,-0.126374047075,0.0362024776664,11.7178168323
G154-34,3550.54352446,-1.02993361515,0,-2.6252093264,0.23235102105,-17.02
LP584-45,6873.85329779,4.5719849549000005,0,-2.39897119318,0.0696754813973,24.0
HD23596,5975.97705119,4.122591957169999,2,0.226325697335,0.04373879917719999,-11.018553111400001
V1720Cyg,5563.95572024,2.84219262584,1,-0.348859140886,0.0897278532908,7.83
