Name,HaKiDaSName,RA,DEC,DateObs,Wmin,Wmax,R,GaiaID,Gmag,Parallax,pmra,pmdec,rv_gaia
HD169830,HaKiDaS00036,276.9572,-29.818808,2006-06-01,528.786606835,810.329278258,60000.0,4048037707717866880,5.7624216,26.5641670107,-0.48881133666,16.452826900399998,-17.2136054774
HD119516,HaKiDaS00037,205.859071,15.577542000000001,2003-02-20,408.816557945,689.9809072910001,50000.0,3742101345970116224,8.887903999999999,1.8101926336400003,-50.096689462200004,-14.9100807921,-284.740991502
HD206739,HaKiDaS00038,326.102583,-11.775222,2003-12-09,400.160590318,681.511935252,60000.0,6844927866837934080,8.240787,1.85989130033,41.6279811085,-32.1024332343,-56.924986608199994
HD241894,HaKiDaS00039,78.816913,29.285771999999998,2007-01-27,435.41681355300005,713.6839990039999,36000.0,3422652536173655936,9.096789,1.71433219513,4.9460509665400005,4.46432700468,34.0648633222
BD-11145,HaKiDaS00040,12.102333,-10.688339,2007-07-12,506.387972206,789.307558837,60000.0,2377539761575614080,10.537825999999999,0.39889635974,-2.6412483597599996,-25.346155521300002,-92.1995122894
CNLyr,HaKiDaS00041,280.318342,28.725281,2004-06-28,501.793988941,788.9620903639999,60000.0,4539434124372063744,11.326093,1.10958229201,-1.49228947252,-5.42099697339,38.082175891999995
HE1104-0957,HaKiDaS00042,166.834367,-10.220472000000001,2003-12-08,400.052953714,681.3241469669999,60000.0,3758906900164720256,10.2751,0.32275437867400003,-6.70339666564,-10.0190195959,81.65509220310001
HD177830,HaKiDaS00043,286.339213,25.918564,2001-06-02,408.51500515099997,895.3081845889999,90000.0,2035963417721248128,6.8865967,15.9029670667,-41.3347241869,-52.432987893500005,-72.1428125829
V1221Tau,HaKiDaS00044,52.059841999999996,4.163725,2007-08-06,435.40910860199995,713.922916715,120000.0,3275301176136626432,9.557862,11.9874202153,45.307669268000005,-25.744515006700002,18.051457289400002
HD85773,HaKiDaS00045,148.41573799999998,-22.836306,2003-02-21,408.205383761,688.9454052169999,50000.0,5660878702718068864,8.97911,0.412273173637,-15.954919155999999,-21.883571745100003,149.231960835
60551,HaKiDaS00046,194.908517,28.931378000000002,2002-03-20,408.42133969900004,689.318807872,51428.5714286,1463926962753040512,11.933739,2.17986815287,-33.5848559147,-8.86023094636,-17.028335295599998
HD44007,HaKiDaS00047,94.705383,-14.845564000000001,2005-02-28,399.87494714300004,681.026334799,60000.0,2993364748147267456,7.7698026,3.32467465179,81.1918853079,-40.5295192482,161.935230856
HD246370,HaKiDaS00048,85.47029599999999,26.041247,2007-01-27,435.420145951,713.7589191789999,36000.0,3440953387524972416,8.6195345,0.662530340157,1.20345816376,-3.39292917212,9.3207175582
IOLyr,HaKiDaS00049,275.656233,32.961586,2004-06-28,502.09087555400004,789.630981672,60000.0,4593112037219674368,11.7637,0.648745568552,-19.542502536300002,33.5522343729,-173.828842093
HD214161,HaKiDaS00050,339.282337,-40.506739,2008-07-27,400.661746571,682.243483567,51428.5714286,6545771884159036928,8.859679,1.57425040171,50.5733109562,-23.8656718387,-369.075277398
G48-29,HaKiDaS00051,145.179821,1.009953,2003-02-20,411.313813326,681.627473356,50000.0,3846427888295815552,10.340125,5.50439706087,147.972411537,-505.700788451,-56.6812795471
HD041994,HaKiDaS00052,92.361088,27.195511,2007-01-27,435.42677852199995,713.765315659,36000.0,3430248306097176832,7.5072575,1.29133531403,-0.440234454348,-4.3314354131699995,6.66283855093
HD003008,HaKiDaS00053,8.310175,-10.73015,2007-01-26,435.537476114,713.9431135289999,36000.0,2425521212060616960,8.998602,0.462511257134,15.273831195,-8.06820835371,-79.2750806264
HD003008,HaKiDaS00053,8.310175,-10.73015,2007-01-28,435.47989774800004,713.9439098910001,36000.0,2425521212060616960,8.998602,0.462511257134,15.273831195,-8.06820835371,-79.2750806264
HE2134-3940,HaKiDaS00054,324.440421,-39.45565,2003-05-26,348.410006056,530.798125778,50000.0,6585479578366156672,12.450339,0.28786544375900003,1.9270734782799999,-31.121287361999997,-65.6544606906
UUCet,HaKiDaS00055,1.023771,-16.996722000000002,2004-06-28,502.027321529,789.507441882,60000.0,2414817603803476864,11.986022,0.382278300133,33.279832798,-4.4334625038099995,-118.67167851100001
HD189733,HaKiDaS00056,300.176954,22.709111,2008-07-26,408.442127108,689.2848460360001,90000.0,1827242816201846144,7.4143229999999996,50.5684724451,-3.29445326202,-250.224697392,-2.54575881194
BD+042621,HaKiDaS00057,187.18868799999998,4.025253,2008-07-27,400.178946571,681.421133426,51428.5714286,3707617672026060928,9.654866,0.7016112541349999,-18.756700675799998,-37.3887611731,-40.8806522161
HE0319-0215,HaKiDaS00058,50.439178999999996,-2.072428,2008-07-25,408.79400514900004,689.915729395,45000.0,3262319242347448320,13.509649,0.08871043174219999,2.4037409797400002,-6.324106316719999,-232.333365126
63433,HaKiDaS00059,195.038971,27.915439000000003,2002-03-20,408.39726992699997,689.236224939,51428.5714286,1460804762048766848,12.026167999999998,2.0058019111200003,1.76016486512,6.9307747941999995,18.7537593139
HD193653,HaKiDaS00061,305.424037,-7.758047,2007-11-03,408.447188969,689.165025085,60000.0,4215988933398838272,8.738727,8.03391328623,46.5200460795,4.29619720128,-38.9843835596
HE1523-1155,HaKiDaS00062,231.672129,-12.094844,2003-05-26,400.188681985,681.532341544,50000.0,6314934159552034304,13.046553,0.185532428127,-12.323078840199999,-6.10425929095,-38.9618115201
HD108577,HaKiDaS00064,187.069233,12.346278,2003-02-20,408.572411588,689.56829524,50000.0,3907872613852996864,9.334561,1.1069666951000001,-79.38909138460001,-45.8405552238,-110.139866023
17583-100,HaKiDaS00066,325.612796,26.677217,2007-07-11,506.395432615,789.1831831239999,60000.0,1800455375724578304,12.170608,1.51730988397,47.7063251738,-14.1358556029,-105.535162391
HD70088,HaKiDaS00067,125.336046,34.310258000000005,2007-11-03,435.45073474699996,713.8203398889999,120000.0,903348277956806528,8.30813,22.3057343015,-115.450949854,-111.49487417799999,33.0863034923
XO-1,HaKiDaS00068,240.552371,28.170069,2008-06-16,528.75466053,810.36900186,60000.0,1316708918505350528,11.003967999999999,6.08536716778,-17.4220949559,14.820189301300001,2.56399958294
HD103545,HaKiDaS00071,178.863871,9.131781,2003-12-09,399.922075499,681.1055440169999,60000.0,3912005716714761216,9.124880000000001,1.0915829242,-50.5977173842,-38.6326233657,179.651260595
HE1425-2052,HaKiDaS00073,217.164796,-21.101842,2003-05-25,399.988288231,681.13992213,50000.0,6282682322413339136,11.968577999999999,0.09609302573079999,3.2703560496599997,-7.08304378252,132.997591553
HD036702,HaKiDaS00075,82.969192,-38.555856,2007-01-29,435.26936405699996,713.502047551,36000.0,4809142471233678208,7.914775,0.7509259585,2.61060547505,-17.0331351466,122.944361261
HD221851,HaKiDaS00076,353.857925,31.158283,2007-08-04,435.52019916,713.928844715,120000.0,2871343486014101888,7.6681356,41.3305181068,-197.58540025099998,-280.73760238299997,-21.4798559983
HD187111,HaKiDaS00077,297.168304,-12.122286,2006-03-12,400.455865151,681.858115289,60000.0,4189688954569244032,7.268495,1.7812179862900002,36.8642773075,-57.460288310699994,-186.057822899
M13L70,HaKiDaS00078,250.346258,36.503478,2004-06-02,400.435857001,681.982754657,90000.0,1328105150377778048,11.524046,0.119695555792,-2.99781365942,-2.65402428768,-241.70471409299998
HD237846,HaKiDaS00079,148.158362,57.91731899999999,2003-02-21,408.80218172800005,689.895216438,50000.0,1049376272667191552,9.704123,1.1264315438799999,0.541912126976,-8.316982223510001,-303.221379356
BD+102495,HaKiDaS00080,194.832079,9.244778,2003-02-20,408.08418069,688.812128966,50000.0,3734341989334114304,9.4815445,1.63360082875,-45.1655207445,31.1738583646,254.410666338
BD+292356,HaKiDaS00081,195.468775,29.190028,2003-02-21,408.701878741,689.877364279,50000.0,1464266230811360256,11.071903,0.315336047847,-2.85616841582,-23.3362304299,-205.88895826599997
BD-035215,HaKiDaS00082,322.002217,-3.124589,2008-07-27,400.561663004,682.071700658,51428.5714286,2684739908761571840,9.97642,1.31412268391,19.3197824249,-23.315030005900002,-292.174654692
