# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Sep 18 04:09:25 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Subaru/Hyper Suprime-Cam (ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  gmag    rmag    imag    zmag    ymag    NB816mag  NB921mag
0.0015467 -1.00000 10.00000 0.8662810326 2.4398806095    0.864  0.633  3.7516  3.700    2  0.000  0.536     0.00     0.00 -1 -8.14e-13      0.00 7.726e-01 2.259e-01 2.654e-04 7.260e-05 6.604e-04 -1.000 1.496e-03 3.188 3.631 2.995 2.609 2.448 2.400 2.501 2.414
0.0015467 -1.00000 10.00000 0.8673693538 2.4401972294    0.865  0.661  3.7437  3.641    2  0.000  0.536     0.00     0.00 -1 -9.29e-13      0.00 7.663e-01 2.322e-01 2.708e-04 7.404e-05 6.731e-04 -1.000 1.524e-03 3.117 3.588 2.928 2.528 2.358 2.306 2.416 2.322
0.0015467 -1.00000 10.00000 0.8683698177 2.4404873848    0.866  0.702  3.7376  3.576    2  0.000  0.537     0.00     0.00 -1  -1.1e-12      0.00 7.621e-01 2.364e-01 2.743e-04 7.496e-05 6.814e-04 -1.000 1.561e-03 3.016 3.511 2.831 2.421 2.244 2.189 2.306 2.206
0.0015467 -1.00000 10.00000 0.8689256310 2.4406480789    0.867  0.729  3.7347  3.538    2  0.000  0.537     0.00     0.00 -1 -1.22e-12      0.00 7.601e-01 2.384e-01 2.758e-04 7.538e-05 6.851e-04 -1.000 1.552e-03 2.948 3.454 2.766 2.350 2.170 2.114 2.234 2.132
0.0015467 -1.00000 10.00000 0.8691661358 2.4407176971    0.867  0.743  3.7337  3.519    2  0.000  0.537     0.00     0.00 -1 -1.29e-12      0.00 7.593e-01 2.392e-01 2.763e-04 7.551e-05 6.862e-04 -1.000 1.556e-03 2.912 3.422 2.730 2.313 2.132 2.075 2.197 2.094
0.0015467 -1.00000 10.00000 0.8698030114 2.4409015179    0.868  0.783  3.7312  3.470    3  0.000  0.537     0.00     0.00 -1 -1.49e-12      0.00 7.572e-01 2.413e-01 2.775e-04 7.584e-05 6.892e-04 -1.000 1.564e-03 2.811 3.331 2.632 2.211 2.027 1.968 2.093 1.988
0.0015467 -1.00000 10.00000 0.8704193830 2.4410793781    0.868  0.826  3.7291  3.419    3  0.000  0.537     0.00     0.00 -1 -1.74e-12      0.00 7.551e-01 2.433e-01 2.785e-04 7.613e-05 6.917e-04 -1.000 1.564e-03 2.705 3.234 2.528 2.103 1.918 1.857 1.985 1.878
0.0015467 -1.00000 10.00000 0.8710147142 2.4412505627    0.869  0.870  3.7273  3.368    3  0.000  0.537     0.00     0.00 -1 -2.05e-12      0.00 7.531e-01 2.453e-01 2.792e-04 7.640e-05 6.938e-04 -1.000 1.590e-03 2.594 3.130 2.419 1.991 1.803 1.742 1.872 1.763
0.0015467 -1.00000 10.00000 0.8716318607 2.4414279461    0.869  0.920  3.7255  3.311    3  0.000  0.536     0.00     0.00 -1 -2.45e-12      0.00 7.509e-01 2.475e-01 2.794e-04 7.676e-05 6.956e-04 -1.000 1.583e-03 2.470 3.013 2.297 1.866 1.676 1.613 1.745 1.635
0.0015467 -1.00000 10.00000 0.8721476197 2.4415760040    0.870  0.965  3.7240  3.260    3  0.000  0.533     0.00     0.00 -1 -2.89e-12      0.00 7.489e-01 2.495e-01 2.787e-04 7.742e-05 6.970e-04 -1.000 1.575e-03 2.356 2.906 2.186 1.752 1.560 1.497 1.631 1.519
0.0015467 -1.00000 10.00000 0.8726704717 2.4417257309    0.870  1.015  3.7224  3.204    3  0.000  0.529     0.00     0.00 -1 -3.45e-12      0.00 7.468e-01 2.516e-01 2.769e-04 7.897e-05 6.981e-04 -1.000 1.573e-03 2.233 2.789 2.064 1.627 1.434 1.369 1.505 1.392
0.0015467 -1.00000 10.00000 0.8731427193 2.4418609142    0.871  1.064  3.7208  3.150    3  0.000  0.523     0.00     0.00 -1  -4.1e-12      0.00 7.450e-01 2.534e-01 2.740e-04 8.176e-05 6.991e-04 -1.000 1.593e-03 2.111 2.674 1.944 1.505 1.310 1.244 1.382 1.268
0.0015467 -1.00000 10.00000 0.8735987544 2.4419913292    0.871  1.114  3.7192  3.092    3  0.000  0.516     0.00     0.00 -1 -4.93e-12      0.00 7.433e-01 2.551e-01 2.705e-04 8.554e-05 6.998e-04 -1.000 1.621e-03 1.984 2.554 1.819 1.377 1.180 1.113 1.254 1.138
0.0015467 -1.00000 10.00000 0.8739863634 2.4421019554    0.871  1.162  3.7176  3.039    3  0.000  0.509     0.00     0.00 -1 -5.84e-12      0.00 7.420e-01 2.564e-01 2.673e-04 8.939e-05 7.004e-04 -1.000 1.610e-03 1.866 2.443 1.703 1.259 1.060 0.992 1.134 1.017
0.0015467 -1.00000 10.00000 0.8743424416 2.4422035217    0.872  1.209  3.7159  2.985    3  0.000  0.503     0.00     0.00 -1 -6.93e-12      0.00 7.408e-01 2.576e-01 2.643e-04 9.312e-05 7.008e-04 -1.000 1.617e-03 1.747 2.333 1.587 1.140 0.939 0.870 1.014 0.895
